Player_ID,Player_Name,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,FirstTouch,FreeKickTaking,Heading,LongShots,LongThrows,Marking,PassingSkill,PenaltyTaking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,OffTheBall,Positioning,Teamwork,WorkRate,Acceleration,Agility,Balance,JumpingReach,NaturalFitness,Pace,Stamina,Strength,Stability,Height,LeftFoot,RightFoot,PlayerValue,Salary,RentalClub,BirthDate
22,Heung-Min Son,30,173,173,14,6,14,14,16,18,13,13,8,16,6,5,13,9,6,17,8,15,6,17,11,12,14,14,13,13,18,7,14,17,16,14,12,10,16,16,16,10,16,183,19,20,347975206,222704,,1992-07-08
23,Jan Oblak,29,172,178,15,8,5,3,1,3,12,9,1,1,1,1,14,12,2,11,8,11,13,17,16,8,16,15,15,11,3,16,13,13,11,13,13,13,9,13,13,13,16,189,8,20,120000002,356125,,1993-01-07
24,Sadio Mane,30,172,184,16,7,11,12,16,15,16,8,14,12,3,8,14,13,10,17,14,17,15,15,12,14,14,17,16,13,18,9,16,17,15,16,16,12,17,15,14,11,12,174,14,20,109296006,354794,,1992-04-10
25,Thomas Muller,32,171,174,10,7,11,17,11,13,13,7,14,10,8,9,16,13,11,13,17,20,13,16,16,18,16,18,13,17,20,11,20,17,12,12,13,13,20,14,19,11,16,185,13,20,347975206,335615,,1989-09-13
26,Thiago,31,169,173,13,4,13,14,17,9,18,12,10,12,5,12,18,12,15,18,14,16,12,17,14,18,15,15,18,11,15,13,15,15,14,17,15,10,12,11,14,9,14,174,10,20,347975206,260981,,1991-04-11
27,Federico Valverde,24,169,175,17,5,13,13,12,11,14,12,12,15,10,13,15,12,13,13,12,14,15,12,14,14,14,15,14,13,15,12,17,17,17,15,15,12,17,17,17,14,15,181,12,20,99900007,209790,,1998-07-22
28,Thiago Silva,37,168,174,11,9,4,5,9,7,14,8,17,7,7,17,13,14,16,13,17,17,15,20,17,13,17,15,8,19,8,19,15,14,10,12,16,13,14,10,14,14,15,183,8,20,26674923,114999,,1984-09-22
29,Raheem Sterling,27,168,180,6,9,8,13,15,13,13,10,12,12,5,7,13,8,8,13,12,18,11,12,13,13,13,13,14,12,20,9,14,15,18,18,14,8,20,17,18,12,14,170,8,20,197383136,405971,,1994-12-08
30,Aymeric Laporte,28,168,173,13,1,8,11,13,8,15,10,16,11,8,16,16,11,15,15,13,16,15,16,15,16,16,14,12,13,14,16,13,14,14,13,12,16,15,14,15,14,15,191,20,10,347975206,150789,,1994-05-27
31,N'Golo Kante,31,167,170,2,9,6,12,11,10,14,8,10,10,6,12,15,9,19,14,15,20,15,14,16,14,16,19,13,5,15,15,20,20,14,13,15,7,18,14,18,11,19,168,8,20,48067182,336376,,1991-03-29
32,Kai Havertz,23,167,180,10,9,11,12,14,16,18,11,13,11,8,7,14,12,10,17,11,15,11,17,10,17,16,10,15,7,17,10,15,13,13,13,13,14,16,17,15,13,13,186,20,10,305612129,173988,,1999-06-11
33,Joao Cancelo,28,167,167,12,1,12,16,16,11,15,12,10,12,12,9,16,11,13,17,12,14,12,12,12,16,15,13,17,7,14,13,13,14,16,16,14,11,15,16,14,12,14,182,11,20,269761478,208785,,1994-05-27
34,Luis Diaz,25,166,172,18,4,9,12,18,15,18,10,13,13,4,7,14,5,8,18,13,13,13,14,13,14,13,15,19,4,15,9,13,14,17,17,14,10,15,16,13,10,15,180,12,20,251912317,104393,,1997-01-13
35,Jack Grealish,26,166,175,6,1,13,16,17,14,15,11,11,13,3,6,14,12,9,16,11,13,14,14,11,16,13,14,16,12,13,11,14,15,15,15,14,7,15,15,14,14,14,175,15,20,288514966,313178,,1995-09-10
36,Bruno Fernandes,27,166,174,12,10,16,16,11,15,17,16,10,16,4,3,17,19,8,17,18,16,17,15,14,18,10,17,17,17,17,6,15,15,13,15,13,9,18,14,19,10,12,179,13,20,265261481,289979,,1994-09-08
37,Antonio Rudiger,29,166,166,10,5,5,10,10,7,10,9,15,8,14,15,12,7,17,11,18,15,18,13,14,10,17,17,9,18,8,14,13,15,17,9,17,15,15,16,16,18,16,190,10,20,123524990,244754,,1993-03-03
38,Toni Kroos,32,166,176,10,5,19,18,14,13,18,14,7,17,8,8,20,13,9,16,9,17,9,18,14,18,17,10,11,12,15,14,16,11,11,10,12,10,12,12,12,14,13,183,15,20,37521116,359588,,1990-01-04
39,Mason Mount,23,165,170,6,9,14,12,11,14,15,14,9,12,5,7,15,15,11,15,14,14,15,15,12,12,16,18,13,12,17,14,18,20,15,13,10,9,15,15,20,11,12,178,12,20,126331239,89314,,1999-01-10
40,Edouard Mendy,30,165,167,16,9,2,1,1,3,11,5,8,1,3,2,14,4,1,11,10,14,12,13,16,8,16,12,8,10,3,16,13,10,12,15,14,17,15,11,14,15,15,194,10,20,222367032,57996,,1992-03-01
41,Leroy Sane,26,165,175,10,7,14,14,18,14,15,16,7,17,3,7,14,11,8,17,13,15,10,14,12,15,14,11,16,4,15,8,11,9,17,16,14,10,15,18,13,11,12,183,20,9,96400267,326026,,1996-01-11
42,Ilkay Gundogan,31,165,167,10,1,10,11,14,13,17,14,7,12,6,10,16,14,13,16,15,17,13,16,14,16,14,13,13,10,16,12,16,15,14,16,14,10,13,13,16,13,17,180,13,20,61209266,191386,,1990-10-24
43,Yannick Carrasco,28,164,167,1,8,14,13,17,13,14,15,8,13,6,4,14,15,4,17,11,12,10,14,12,15,13,15,16,9,16,7,10,12,16,14,14,10,12,17,13,11,12,180,14,20,62700001,164999,,1993-09-04
44,Reece James,22,164,170,6,9,13,16,11,12,14,14,14,11,9,13,13,7,14,15,16,14,18,16,14,11,16,17,12,13,12,13,15,16,15,12,19,10,15,14,15,18,16,175,10,20,287615409,289979,,1999-12-08
45,Mateo Kovacic,28,164,172,9,9,10,10,17,8,17,12,10,10,7,12,15,12,15,17,14,16,14,18,11,15,16,17,16,11,13,12,15,17,15,15,16,9,12,14,15,15,13,178,11,20,233998516,173988,,1994-05-06
46,Jorginho,30,164,165,19,9,11,12,12,8,18,9,7,9,2,10,18,18,14,16,10,16,14,19,15,18,18,15,13,15,15,14,17,17,11,14,14,9,14,12,17,9,15,180,9,20,193594995,127591,,1991-12-20
47,Leon Goretzka,27,164,170,10,7,5,11,12,14,15,6,16,15,6,12,15,11,15,15,14,17,16,16,15,15,15,18,12,14,18,13,17,18,12,11,15,16,12,15,17,17,16,189,10,20,89723700,268492,,1995-02-06
48,Kyle Walker,32,164,164,6,1,8,11,14,7,13,11,13,8,12,14,13,6,13,13,13,16,13,13,13,12,13,16,10,11,13,14,15,16,19,13,13,11,19,18,17,13,18,178,10,20,347975206,202986,,1990-05-28
49,Marco Verratti,29,164,165,19,2,14,17,16,10,18,13,6,13,6,12,18,15,15,17,14,17,16,18,14,18,15,14,18,12,14,13,17,13,12,16,16,6,12,12,12,9,14,165,10,20,157373875,276164,,1992-11-05
50,Marquinhos,28,164,165,11,2,4,11,10,8,14,4,15,10,7,16,14,8,16,14,14,17,15,17,17,13,16,17,10,15,8,16,17,15,13,13,16,13,15,14,16,14,15,183,10,20,191688462,276164,,1994-05-14
51,David Alaba,30,164,174,20,5,12,11,12,10,15,15,13,14,13,14,16,14,13,15,13,15,12,16,15,13,15,16,12,15,14,16,15,14,15,12,14,12,18,15,15,13,14,180,20,10,184320073,419579,,1992-06-24
52,Rafael Leao,23,163,176,12,11,5,15,17,15,16,6,11,13,6,4,15,12,7,15,9,13,8,13,11,14,13,14,17,8,15,7,13,13,17,18,16,14,15,16,11,14,14,188,14,20,150000002,34423,,1999-06-10
53,Frenkie de Jong,25,163,183,7,3,9,11,16,10,17,13,10,8,6,10,16,11,12,16,7,17,11,16,15,18,16,15,15,11,15,14,17,14,14,16,13,10,13,13,13,10,15,181,12,20,134021250,269230,,1997-05-12
54,Phil Foden,22,163,180,6,1,13,13,17,14,17,13,8,12,5,8,17,12,8,17,7,14,13,15,15,16,14,14,16,8,16,9,14,16,15,17,15,7,14,16,15,9,15,171,20,9,147976457,139190,,2000-05-28
55,Antoine Griezmann,31,162,180,2,8,14,15,16,14,15,15,13,14,4,5,15,13,10,17,12,15,12,11,12,16,13,17,17,10,17,10,12,14,15,14,13,9,15,14,13,10,11,175,20,14,347975206,268492,,1991-03-21
56,Gabriel Jesus,25,162,175,11,12,7,12,16,16,15,11,15,12,4,6,14,13,8,16,12,15,13,15,14,14,15,13,16,8,16,7,15,16,15,16,15,10,15,15,14,13,13,175,13,20,282622772,139190,,1997-04-03
57,Jules Kounde,23,162,175,2,3,6,13,12,9,13,5,16,7,8,16,14,8,16,13,14,17,16,14,16,14,14,16,12,14,12,15,16,16,15,16,16,13,15,14,15,14,15,178,10,20,122512503,182692,,1998-11-12
58,Ousmane Dembele,25,162,176,2,3,13,16,19,12,14,10,7,13,6,4,12,11,5,17,9,11,11,9,8,14,8,13,18,8,14,5,7,11,18,18,11,9,12,18,12,9,11,178,20,19,96249998,230768,,1997-05-15
59,Romelu Lukaku,29,162,176,1,9,4,10,13,18,13,11,15,14,3,5,13,20,10,14,16,14,16,16,13,11,14,18,13,16,15,5,19,12,14,8,20,16,13,17,14,20,17,191,20,12,142679281,405971,15,1993-05-13
60,Kingsley Coman,26,162,165,2,7,11,13,17,12,15,6,9,14,4,7,13,10,8,17,13,13,12,12,12,14,12,14,17,5,14,8,12,12,19,17,13,9,13,17,12,10,13,179,12,20,82080002,287670,,1996-06-13
61,Gianluigi Donnarumma,23,162,178,19,2,1,2,4,3,7,1,7,3,8,3,7,6,7,6,8,16,16,14,14,8,15,15,6,14,2,15,15,13,10,16,16,18,15,12,15,16,17,196,7,20,138933453,249315,,1999-02-25
62,Sergej Milinkovic-Savic,27,162,167,21,13,4,6,14,16,16,15,17,15,3,7,16,13,13,16,14,15,17,12,11,15,13,17,18,14,16,11,16,15,12,12,17,17,20,12,18,17,17,191,17,20,63440998,114037,,1995-02-27
63,Declan Rice,23,162,178,6,14,7,11,14,9,14,8,12,9,10,14,15,11,17,14,13,15,14,17,15,14,15,17,10,16,16,17,16,17,13,13,13,12,18,13,17,13,17,185,11,20,92610121,69595,,1999-01-14
64,Mike Maignan,27,161,166,2,11,1,1,6,1,12,1,6,10,5,1,13,9,5,12,8,15,14,15,16,13,14,15,6,15,1,15,15,12,8,16,14,15,17,11,14,15,17,191,9,20,157734860,69037,,1995-07-03
65,Bukayo Saka,20,161,177,6,12,12,14,15,11,14,8,7,12,7,9,13,12,10,15,11,16,11,14,14,15,16,16,16,6,16,9,15,15,17,16,16,9,15,15,15,11,14,178,20,11,303538754,57996,,2001-09-05
66,Milan Skriniar,27,161,168,22,15,4,7,9,10,10,4,17,6,11,18,12,10,17,11,17,16,17,12,13,9,13,18,6,14,10,14,16,16,14,11,16,16,18,15,16,18,15,188,9,20,48719002,106922,,1995-02-11
67,Lautaro Martinez,24,161,170,8,15,4,8,14,15,16,8,16,14,3,5,12,15,8,16,18,15,18,13,12,12,13,19,16,12,16,7,15,18,16,17,14,11,16,17,15,13,15,174,12,20,127462502,213653,,1997-08-22
68,Fabinho,28,161,168,11,4,6,11,13,9,16,7,14,12,8,15,15,15,16,15,16,16,15,15,14,13,16,15,11,10,12,16,17,15,14,14,14,15,16,14,15,14,17,188,7,20,99784832,208785,,1993-10-23
69,John Stones,28,161,170,6,1,5,8,13,8,14,5,14,5,8,13,16,12,16,15,13,15,16,17,15,14,14,13,12,13,14,16,16,17,14,13,12,16,16,15,16,15,16,188,12,20,128950907,231983,,1994-05-28
70,Casemiro,30,161,170,11,10,10,11,12,11,14,10,13,14,10,14,14,11,15,14,18,14,16,15,14,12,15,17,12,15,12,18,17,18,11,12,15,13,15,12,17,17,14,185,13,20,209616868,347975,,1992-02-23
71,Christian Eriksen,30,161,170,23,10,16,16,12,14,18,17,4,14,3,5,17,16,6,17,7,15,8,15,15,17,17,16,14,8,15,12,17,16,12,12,12,8,17,11,15,7,14,182,15,20,192148791,197186,,1992-02-14
72,Sergio Ramos,36,161,174,13,2,9,11,13,13,14,14,20,13,12,16,15,17,16,14,18,15,16,13,10,13,11,20,14,18,12,13,13,14,12,14,15,16,15,13,15,16,13,184,13,20,17015106,261204,,1986-03-30
73,Martin Odegaard,23,160,178,5,12,14,14,16,12,17,15,9,13,7,10,16,10,8,17,7,18,10,15,12,17,16,15,16,14,16,9,17,14,14,16,15,9,13,13,15,11,11,178,20,10,272952661,139190,,1998-12-17
74,Paulo Dybala,28,160,177,8,16,16,15,18,15,18,17,13,17,4,4,17,16,4,19,9,16,10,12,11,17,14,13,17,11,14,4,14,12,14,18,18,7,10,12,12,12,13,177,20,10,20000000,160192,,1993-11-15
75,Ronald Araujo,23,160,174,17,3,5,7,11,10,13,8,17,11,7,17,12,13,17,12,15,15,18,15,15,11,14,17,7,16,7,15,15,16,12,11,12,16,13,16,15,16,15,188,8,20,111375005,144230,,1999-03-07
76,Kalidou Koulibaly,31,160,168,16,9,4,6,10,10,12,4,16,6,6,18,13,6,17,11,15,14,18,10,8,10,13,11,8,13,10,16,16,16,12,14,15,15,13,17,15,19,14,187,9,20,347975206,347975,,1991-06-20
77,Serge Gnabry,27,160,170,10,7,12,11,15,15,14,11,11,16,6,8,13,11,9,15,11,16,12,14,11,14,12,12,15,5,17,8,12,12,16,15,16,8,13,15,12,12,12,176,16,20,78165002,306848,,1995-07-14
78,Alphonso Davies,21,160,172,24,7,6,12,17,9,12,6,7,9,12,11,12,10,14,14,15,12,15,12,11,12,12,17,16,7,14,11,15,16,19,14,12,10,16,19,16,12,12,185,20,10,95234402,191781,,2000-11-02
79,Nicolo Barella,25,160,171,19,15,12,13,14,11,15,14,7,13,3,11,16,12,17,15,19,14,18,14,13,16,14,19,14,14,15,14,18,20,14,15,16,8,17,15,15,13,16,172,9,20,52249999,178076,,1997-02-07
80,Marcelo Brozovic,29,160,162,9,15,14,12,10,10,16,13,11,13,4,12,17,12,17,16,13,15,14,14,17,15,12,16,12,14,13,14,18,16,12,12,16,10,20,12,20,12,18,181,11,20,143687500,213653,,1992-11-16
81,Angel Di Maria,34,160,174,8,17,16,17,17,14,16,14,5,17,4,4,17,14,7,19,12,16,12,14,12,18,14,16,17,10,15,4,12,12,15,17,12,10,15,15,12,10,14,180,20,8,17897694,147885,,1988-02-14
82,Paul Pogba,29,160,176,2,17,10,14,16,14,18,15,14,14,4,6,19,15,11,18,12,16,10,14,10,18,12,13,18,13,14,7,15,8,12,13,16,16,15,14,16,16,14,191,13,20,91437501,197308,,1993-03-15
83,Trent Alexander-Arnold,23,160,174,6,4,15,18,12,10,17,14,11,12,14,11,16,12,13,17,12,13,11,15,12,16,15,15,14,12,15,11,16,14,14,14,14,11,15,14,14,13,13,180,12,20,210765335,185587,,1998-10-07
84,Riyad Mahrez,31,160,163,25,1,14,16,17,16,20,14,8,13,4,5,16,13,8,17,6,13,7,16,13,17,13,13,17,5,15,5,13,13,15,17,15,9,14,14,14,8,14,179,20,10,79602112,231983,,1991-02-21
85,Raphael Varane,29,160,172,2,10,4,6,10,6,13,8,16,6,10,17,14,10,16,14,11,16,13,13,15,9,13,12,11,10,6,17,14,12,16,13,11,17,16,16,15,15,14,191,8,20,198946111,405971,,1993-04-25
86,Achraf Hakimi,23,160,172,26,2,7,15,13,14,14,12,8,13,12,10,14,8,13,14,14,13,12,12,10,13,12,15,14,8,18,10,12,14,18,14,14,9,17,20,14,11,14,181,10,20,164955893,199067,,1998-11-04
87,Eder Militao,24,160,168,11,5,9,10,12,8,12,14,15,11,10,16,13,13,15,12,15,16,16,13,12,11,13,15,10,16,12,15,14,15,15,15,15,15,18,15,16,16,13,186,8,20,128638129,178081,,1998-01-18
88,Ciro Immobile,32,160,165,19,13,3,3,12,18,13,3,16,13,3,4,12,17,7,12,14,19,15,14,13,11,14,20,12,15,19,3,16,16,15,14,16,11,20,16,15,13,17,185,14,20,347975206,142499,,1990-02-20
89,Joao Felix,22,159,177,12,8,11,12,17,15,16,12,12,13,4,4,17,14,7,18,14,15,11,15,13,16,16,16,19,7,18,6,12,11,13,15,13,9,14,12,12,9,12,178,15,20,95220000,180287,,1999-11-10
90,Jose Gimenez,27,159,166,17,8,7,10,11,7,12,6,16,8,13,15,12,10,16,12,15,15,17,16,15,11,15,15,10,13,10,16,16,16,14,12,13,13,12,13,15,15,13,185,12,20,111375005,96153,,1995-01-20
91,Theo Hernandez,24,159,167,2,11,8,15,16,13,14,12,13,15,11,12,13,15,14,13,18,13,14,12,11,12,12,16,13,13,17,11,12,13,17,14,17,12,16,18,16,13,14,184,20,8,179870630,98653,,1997-10-06
92,Pedri,19,159,176,13,3,9,14,17,11,18,9,7,11,6,6,17,11,9,17,11,17,11,16,15,18,16,14,18,9,13,9,13,15,14,15,13,8,16,13,16,9,15,174,10,20,96009385,172603,,2002-11-25
93,Marco Reus,33,159,170,10,18,15,13,13,16,16,16,6,15,7,6,15,15,9,16,15,15,12,16,15,14,15,18,13,13,18,10,14,15,14,12,14,8,12,13,13,9,17,180,14,20,33067483,191780,,1989-05-31
94,Andrew Robertson,28,159,165,27,4,14,16,12,5,15,9,10,6,13,15,14,7,15,14,17,14,15,15,14,13,15,16,11,15,14,14,16,17,16,14,14,9,17,16,18,12,16,178,20,4,200948518,185587,,1994-03-11
95,Presnel Kimpembe,26,159,164,2,2,4,10,10,6,13,5,16,6,8,16,12,10,17,13,17,15,18,15,16,10,14,16,8,12,10,15,16,16,13,13,16,14,16,14,16,16,14,183,20,10,57206289,191781,,1995-08-13
96,Aurelien Tchouameni,22,159,180,2,5,8,10,12,6,14,6,14,13,8,15,15,10,16,14,16,17,16,15,15,15,15,16,13,11,13,15,15,16,14,14,15,14,16,14,17,16,15,187,10,20,131900410,138081,,2000-01-27
97,Jose Gaya,27,159,160,13,19,14,14,14,8,15,14,5,11,8,12,14,13,14,16,12,15,13,14,14,15,16,16,14,15,16,14,15,15,17,16,13,7,14,16,15,11,16,172,20,7,50872500,67280,,1995-05-25
98,Memphis Depay,28,158,161,7,3,14,14,15,15,16,14,11,14,2,3,15,14,3,16,9,13,13,14,10,14,13,15,17,15,15,5,12,11,16,14,14,10,16,16,14,14,12,176,12,20,47682226,184911,,1994-02-13
99,Ben Chilwell,25,158,165,6,9,13,15,15,7,15,11,14,7,11,14,13,11,13,13,12,14,13,14,13,12,14,14,11,12,11,15,14,16,15,14,15,13,14,16,17,13,13,178,20,12,176883481,220384,,1996-12-21
100,Matthijs de Ligt,22,158,176,7,7,6,7,11,8,13,10,16,10,5,15,14,8,16,14,16,14,17,15,13,12,14,16,10,17,8,15,15,15,12,12,15,16,13,13,15,18,14,189,11,20,131681715,306848,,1999-08-12
101,Pepe,39,158,165,12,20,6,8,10,8,11,8,15,8,8,18,12,8,14,11,17,16,18,11,15,9,15,17,8,17,12,16,15,13,12,13,13,16,13,14,15,13,16,188,10,20,3984549,57533,,1983-02-26
102,Diogo Jota,25,158,166,12,4,7,12,16,15,14,10,15,12,4,8,13,11,8,15,14,14,12,14,13,13,14,17,16,5,15,9,14,14,16,16,13,11,14,15,13,11,14,178,14,20,87689752,162388,,1996-12-04
103,Cristiano Ronaldo,37,158,196,12,10,10,11,11,19,15,10,19,15,5,3,13,19,2,15,6,18,12,15,14,11,12,20,17,18,17,2,5,7,12,10,13,17,16,13,13,15,13,187,15,20,17282189,556760,,1985-02-05
104,Keylor Navas,35,158,167,28,2,3,3,3,1,10,1,9,1,1,2,10,2,3,8,11,15,15,13,17,8,15,16,8,12,1,14,15,15,12,17,14,12,17,13,14,13,15,185,8,20,11935211,230137,,1986-12-15
105,Christopher Nkunku,24,158,163,2,21,14,13,14,14,14,14,6,13,7,7,16,11,7,15,14,15,12,16,15,15,16,11,15,6,15,7,16,15,15,15,13,9,14,15,16,11,15,175,12,20,65000001,143836,,1997-11-14
106,Mikel Oyarzabal,25,158,167,13,22,14,12,15,15,14,13,12,12,12,13,15,19,12,16,13,14,13,14,14,16,14,16,14,17,15,13,14,16,13,14,14,13,14,13,14,14,14,180,20,10,70125008,43121,,1997-04-21
107,Nicolas Otamendi,34,158,159,8,23,5,8,11,10,13,6,15,6,11,18,13,10,16,12,17,18,20,14,15,12,13,18,6,19,13,14,18,18,10,13,16,13,16,10,15,15,15,183,12,20,3420019,38174,,1988-02-12
108,Yves Bissouma,25,158,165,29,6,8,11,14,9,16,13,12,13,7,14,16,13,17,16,13,15,14,15,15,10,14,14,14,11,12,16,15,16,16,14,13,12,14,14,16,15,13,182,8,20,206180525,104393,,1996-08-30
109,Koke,30,157,162,13,8,15,15,13,12,14,14,9,14,6,12,16,10,14,14,14,15,15,15,16,15,15,16,10,14,15,15,17,16,13,12,15,9,14,13,15,12,16,178,14,20,134021250,306644,,1992-01-08
110,Dusan Tadic,33,157,160,21,24,15,15,14,11,15,14,9,12,9,6,17,17,4,15,18,15,15,14,14,17,14,18,16,19,14,6,14,18,13,12,14,9,18,13,14,13,14,181,20,11,347975206,85000,,1988-11-20
111,Sergio Busquets,34,157,171,13,3,8,11,12,8,16,8,11,9,8,15,17,10,15,16,12,19,12,18,18,16,18,16,9,13,10,17,19,15,10,10,11,14,15,11,12,11,16,189,12,20,22162801,230768,,1988-07-16
112,Joel Matip,30,157,158,30,4,4,7,15,5,15,5,16,3,8,15,15,5,15,14,15,15,14,15,16,12,15,14,11,8,11,17,15,15,14,14,12,16,13,14,15,14,16,195,8,20,113213483,162388,,1991-08-08
113,Victor Osimhen,23,157,171,31,25,4,8,13,15,14,7,14,12,4,4,12,14,8,14,15,14,14,14,13,11,13,14,13,10,19,5,12,13,17,15,14,15,14,19,12,16,14,185,9,20,96427502,110961,,1998-12-29
114,Sergio Canales,31,157,160,13,26,14,13,16,14,17,14,8,14,10,7,17,13,8,17,7,16,11,15,14,17,15,12,16,14,16,10,15,14,15,15,15,8,12,13,13,12,15,180,20,8,347975206,31256,,1991-02-16
115,Pau Torres,25,157,167,13,27,7,8,11,6,14,5,16,7,7,16,14,8,16,14,13,15,14,12,15,11,14,13,5,11,6,16,14,15,15,11,6,17,14,15,16,16,13,191,20,9,60000001,56871,,1997-01-16
116,Angel Correa,27,156,162,8,8,13,15,16,13,16,10,8,11,9,5,15,11,6,17,10,15,11,13,13,15,14,13,18,10,17,8,11,13,14,16,14,6,16,14,12,10,15,172,12,20,44000003,96153,,1995-03-09
